ZIYECH, AJAX, MOROCCO 
FERNANDES, BENFICA, PORTUGAL 
VLACHODIMOS, BENFICA, GERMANY 
EBUEHI, BENFICA, NIGERIA 
ALFA SEMEDO, BENFICA, GUINEA-BISSAU 
RAKIP, BENFICA, SWEDEN 
SVILAR, BENFICA, BELGIUM 
JOÃO FÉLIX, BENFICA, PORTUGAL 
PAVÓN, BOCA JUNIORS, ARGENTINA 
TEVEZ, BOCA JUNIORS, ARGENTINA 
BARRIOS, BOCA JUNIORS, COLOMBIA 
BENEDETTO, BOCA JUNIORS, ARGENTINA 
PÉREZ, BOCA JUNIORS, ARGENTINA 
GAGO, BOCA JUNIORS, ARGENTINA 
ZÁRATE, BOCA JUNIORS, ARGENTINA 
MAGALLÁN, BOCA JUNIORS, ARGENTINA 
FABRA, BOCA JUNIORS, COLOMBIA 
ÁBILA, BOCA JUNIORS, ARGENTINA 
OLAZA, BOCA JUNIORS, URUGUAY 
CARDONA, BOCA JUNIORS, COLOMBIA 
NÁNDEZ, BOCA JUNIORS, URUGUAY 
GOLTZ, BOCA JUNIORS, ARGENTINA 
MÁS, BOCA JUNIORS, ARGENTINA 
JARA, BOCA JUNIORS, ARGENTINA 
REYNOSO, BOCA JUNIORS, ARGENTINA 
BUFFARINI, BOCA JUNIORS, ARGENTINA 
LAMPE, BOCA JUNIORS, BOLIVIA 
IZQUIERDOZ, BOCA JUNIORS, ARGENTINA 
ROSSI, BOCA JUNIORS, ARGENTINA 
VILLA, BOCA JUNIORS, COLOMBIA 
ANDRADA, BOCA JUNIORS, ARGENTINA 
PERUZZI, BOCA JUNIORS, ARGENTINA 
ESPINOZA, BOCA JUNIORS, ARGENTINA 
ALMENDRA, BOCA JUNIORS, ARGENTINA 
CHICCO, BOCA JUNIORS, ARGENTINA 
HEREDIA, BOCA JUNIORS, ARGENTINA 
BALERDI, BOCA JUNIORS, ARGENTINA 
LAMARDO, BOCA JUNIORS, ARGENTINA 
ROFFO, BOCA JUNIORS, ARGENTINA 
BUSTILLOS, BOCA JUNIORS, ARGENTINA 
ABADÍA, BOCA JUNIORS, ARGENTINA 
VARDY, Leicester City, ENGLAND 
SCHMEICHEL, Leicester City, DENMARK 
ADRIEN SILVA, Leicester City, PORTUGAL 
RICARDO PEREIRA, Leicester City, PORTUGAL 
MAGUIRE, Leicester City, ENGLAND 
IBORRA, Leicester City, SPAIN 
NDIDI, Leicester City, NIGERIA 
EVANS, Leicester City, NORTHERN IRELAND 
SÖYÜNCÜ, Leicester City, TURKEY 
OKAZAKI, Leicester City, JAPAN 
FUCHS, Leicester City, AUSTRIA 
ALBRIGHTON, Leicester City, ENGLAND 
GHEZZAL, Leicester City, ALGERIA 
GRAY, Leicester City, ENGLAND 
IHEANACHO, Leicester City, NIGERIA 
SIMPSON, Leicester City, ENGLAND 
MORGAN, Leicester City, JAMAICA 
MADDISON, Leicester City, ENGLAND 
MENDY, Leicester City, FRANCE 
AMARTEY, Leicester City, GHANA 
KING, Leicester City, WALES 
JAKUPOVIC, Leicester City, SWITZERLAND 
BENALOUANE, Leicester City, TUNISIA 
JAMES, Leicester City, ENGLAND 
CHILWELL, Leicester City, ENGLAND 
DIABATÉ, Leicester City, MALI 
WARD, Leicester City, WALES 
CHOUDHURY, Leicester City, ENGLAND 
KNIGHT, Leicester City, ENGLAND 
DANI PAREJO, Valencia, SPAIN 
KONDOGBIA, Valencia, FRANCE 
NETO, Valencia, BRAZIL 
BATSHUAYI, Valencia, BELGIUM 
RODRIGO, Valencia, SPAIN 
GONÇALO GUEDES, Valencia, PORTUGAL 
GARAY, Valencia, ARGENTINA 
JOSÉ GAYÁ, Valencia, SPAIN 
GAMEIRO, Valencia, FRANCE 
GABRIEL, Valencia, BRAZIL 
WASS, Valencia, DENMARK 
COQUELIN, Valencia, FRANCE 
MURILLO, Valencia, COLOMBIA 
SANTI MINA, Valencia, SPAIN 
CARLOS SOLER, Valencia, SPAIN 
PICCINI, Valencia, ITALY 
CHERYSHEV, Valencia, RUSSIA 
RÚBEN VEZO, Valencia, PORTUGAL 
JAUME DOMÉNECH, Valencia, SPAIN 
DIAKHABY, Valencia, FRANCE 
TONI LATO, Valencia, SPAIN 
FERRÁN TORRES, Valencia, SPAIN 
RAČIĆ, Valencia, SERBIA 
JORDI ESCOBAR, Valencia, SPAIN 
SERGIO ASENJO, Villareal, SPAIN 
TRIGUEROS, Villareal, SPAIN 
PABLO FORNALS, Villareal, SPAIN 
BRUNO, Villareal, SPAIN 
BACCA, Villareal, COLOMBIA 
GERARD MORENO, Villareal, SPAIN 
SANTI CAZORLA, Villareal, SPAIN 
VÍCTOR RUÍZ, Villareal, SPAIN 
MARIO GASPAR, Villareal, SPAIN 
JAUME COSTA, Villareal, SPAIN 
TOKO EKAMBI, Villareal, CAMEROON 
ÁLVARO GONZÁLEZ, Villareal, SPAIN 
SANSONE, Villareal, ITALY 
JAVI FUEGO, Villareal, SPAIN 
LAYÚN, Villareal, MEXICO 
FUNES MORI, Villareal, ARGENTINA 
ALFONSO PEDRAZA, Villareal, SPAIN 
CÁSERES, Villareal, ARGENTINA 
BARBOSA, Villareal, ARGENTINA 
BONERA, Villareal, ITALY 
FERNÁNDEZ, Villareal, SPAIN 
DANI RABA, Villareal, SPAIN 
ITURRA, Villareal, CHILE 
LLAMBRICH, Villareal, SPAIN 
CHUKWUEZE, Villareal, NIGERIA 
MANU MORLANES, Villareal, SPAIN 
PEPE CASTAÑO, Villareal, SPAIN 
PEZZELLA, FIORENTINA, ARGENTINA 
SIMEONE, FIORENTINA, ARGENTINA 
LAFONT, FIORENTINA, FRANCE 
CHIESA, FIORENTINA, ITALY 
MIRALLAS, FIORENTINA, BELGIUM 
VERETOUT, FIORENTINA, FRANCE 
BENASSI, FIORENTINA, ITALY 
PJACA, FIORENTINA, CROATIA 
THÉRÉAU, FIORENTINA, FRANCE 
EYSSERIC, FIORENTINA, FRANCE 
BIRAGHI, FIORENTINA, ITALY 
NØRGAARD, FIORENTINA, DENMARK 
DABO, FIORENTINA, BURKINA FASO 
LAURINI, FIORENTINA, FRANCE 
GERSON, FIORENTINA, BRAZIL 
VITOR HUGO, FIORENTINA, BRAZIL 
CECCHERINI, FIORENTINA, ITALY 
DIKS, FIORENTINA, NETHERLANDS 
MILENKOVIĆ, FIORENTINA, SERBIA 
OLIVERA, FIORENTINA, URUGUAY 
DRĄGOWSKI, FIORENTINA, POLAND 
FERNANDES, FIORENTINA, SWITZERLAND 
HANCKO, FIORENTINA, SLOVAKIA 
VLAHOVIĆ, FIORENTINA, SERBIA 
SOTTIL, FIORENTINA, ITALY 
MONTIEL, FIORENTINA, SPAIN 
GRAICIAR, FIORENTINA, CZECH REPUBLIC 
MELI, FIORENTINA, ITALY 
BELOKO, FIORENTINA, CAMEROON 
BRANCOLINI, FIORENTINA, ITALY 
GHIDOTTI, FIORENTINA, ITALY 
ICARDI, INTERNAZIONALE, ARGENTINA 
HANDANOVIČ, INTERNAZIONALE, SLOVENIA 
MIRANDA, INTERNAZIONALE, BRAZIL 
NAINGGOLAN, INTERNAZIONALE, BELGIUM 
PERIŠIĆ, INTERNAZIONALE, CROATIA 
DE VRIJ, INTERNAZIONALE, NETHERLANDS 
ŠKRINIAR, INTERNAZIONALE, SLOVAKIA 
VRSALJKO, INTERNAZIONALE, CROATIA 
BALDÉ, INTERNAZIONALE, SENEGAL 
BORJA VALERO, INTERNAZIONALE, SPAIN 
CANDREVA, INTERNAZIONALE, ITALY 
ASAMOAH, INTERNAZIONALE, GHANA 
BROZOVIĆ, INTERNAZIONALE, CROATIA 
JOÃO MÁRIO, INTERNAZIONALE, PORTUGAL 
VECINO, INTERNAZIONALE, URUGUAY 
D'AMBROSIO, INTERNAZIONALE, ITALY 
GAGLIARDINI, INTERNAZIONALE, ITALY 
POLITANO, INTERNAZIONALE, ITALY 
MARTÍNEZ, INTERNAZIONALE, ARGENTINA 
RANOCCHIA, INTERNAZIONALE, ITALY 
PADELLI, INTERNAZIONALE, ITALY 
DALBERT, INTERNAZIONALE, BRAZIL 
BERNI, INTERNAZIONALE, ITALY 
GRIEZMANN, Atletico De Madrid, FRANCE 
OBLAK, Atletico De Madrid, SLOVENIA 
GODÍN, Atletico De Madrid, URUGUAY 
DIEGO COSTA, Atletico De Madrid, SPAIN 
KOKE, Atletico De Madrid, SPAIN 
SAÚL, Atletico De Madrid, SPAIN 
FILIPE LUIS, Atletico De Madrid, BRAZIL 
GIMÉNEZ, Atletico De Madrid, URUGUAY 
PARTEY, Atletico De Madrid, GHANA 
SAVIĆ, Atletico De Madrid, MONTENEGRO 
VITOLO, Atletico De Madrid, SPAIN 
LEMAR, Atletico De Madrid, FRANCE 
ARIAS, Atletico De Madrid, COLOMBIA 
HERNANDEZ, Atletico De Madrid, FRANCE 
RODRI, Atletico De Madrid, SPAIN 
JUANFRAN, Atletico De Madrid, SPAIN 
ADÁN, Atletico De Madrid, SPAIN 
KALINIĆ, Atletico De Madrid, CROATIA 
CORREA, Atletico De Madrid, ARGENTINA 
GELSON MARTINS, Atletico De Madrid, PORTUGAL 
SOLANO, Atletico De Madrid, COLOMBIA 
CARLOS MUÑOZ, Atletico De Madrid, SPAIN 
BORJA GARCÉS, Atletico De Madrid, SPAIN 
ALEX DOS SANTOS, Atletico De Madrid, BRAZIL 
JAVIER MONTERO, Atletico De Madrid, SPAIN 
IMMOBILE, LAZIO, ITALY 
SAVIĆ, LAZIO, SERBIA 
LUIS ALBERTO, LAZIO, SPAIN 
LUCAS LEIVA, LAZIO, BRAZIL 
PAROLO, LAZIO, ITALY 
BADELJ, LAZIO, CROATIA 
LULIĆ, LAZIO, BOSNIA AND HERZEGOVINA 
STRAKOSHA, LAZIO, ALBANIA 
RADU, LAZIO, ROMANIA 
CORREA, LAZIO, ARGENTINA 
LUKAKU, LAZIO, BELGIUM 
WALLACE, LAZIO, BRAZIL 
MARUŠIĆ, LAZIO, MONTENEGRO 
BASTOS, LAZIO, ANGOLA 
BASTA, LAZIO, SERBIA 
CÁCERES, LAZIO, URUGUAY 
ACERBI, LAZIO, ITALY 
VALON BERISHA, LAZIO, KOSOVO 
DURMISI, LAZIO, DENMARK 
PROTO, LAZIO, BELGIUM 
CATALDI, LAZIO, ITALY 
CAICEDO, LAZIO, ECUADOR 
PATRIC, LAZIO, SPAIN 
LUIZ FELIPE, LAZIO, BRAZIL 
MURGIA, LAZIO, ITALY 
LOMBARDI, LAZIO, ITALY 
MINALA, LAZIO, CAMEROON 
ROSSI, LAZIO, ITALY 
GUERRIERI, LAZIO, ITALY 
PEDRO NETO, LAZIO, PORTUGAL 
FILIPPINI, LAZIO, ITALY 
BRUNO JORDÃO, LAZIO, PORTUGAL 
SALAH, LIVERPOOL, EGYPT 
VAN DIJK, LIVERPOOL, NETHERLANDS 
ALISSON, LIVERPOOL, BRAZIL 
MANÉ, LIVERPOOL, SENEGAL 
ROBERTO FIRMINO, LIVERPOOL, BRAZIL 
FABINHO, LIVERPOOL, BRAZIL 
KEÏTA, LIVERPOOL, GUINEA 
WIJNALDUM, LIVERPOOL, NETHERLANDS 
SHAQIRI, LIVERPOOL, SWITZERLAND 
MATIP, LIVERPOOL, CAMEROON 
HAMBERLAIN, LIVERPOOL, ENGLAND 
MILNER, LIVERPOOL, ENGLAND 
LOVREN, LIVERPOOL, CROATIA 
HENDERSON, LIVERPOOL, ENGLAND 
LALLANA, LIVERPOOL, ENGLAND 
CLYNE, LIVERPOOL, ENGLAND 
ROBERTSON, LIVERPOOL, SCOTLAND 
STURRIDGE, LIVERPOOL, ENGLAND 
MIGNOLET, LIVERPOOL, BELGIUM 
ORIGI, LIVERPOOL, BELGIUM 
ALBERTO MORENO, LIVERPOOL, SPAIN 
GOMEZ, LIVERPOOL, ENGLAND 
ARNOLD, LIVERPOOL, ENGLAND 
MARKOVIĆ, LIVERPOOL, SERBIA 
SOLANKE, LIVERPOOL, ENGLAND 
BREWSTER, LIVERPOOL, ENGLAND 
GRABARA, LIVERPOOL, POLAND 
JONES, LIVERPOOL, ENGLAND 
HAZARD, Chelsea, BELGIUM 
KANTÉ, Chelsea, FRANCE 
FÀBREGAS, Chelsea, SPAIN 
AZPILICUETA, Chelsea, SPAIN 
WILLIAN, Chelsea, BRAZIL 
GIROUD, Chelsea, FRANCE 
ÁLVARO MORATA, Chelsea, SPAIN 
MARCOS ALONSO, Chelsea, SPAIN 
JORGINHO, Chelsea, ITALY 
CAHILL, Chelsea, ENGLAND 
KOVAČIĆ, Chelsea, CROATIA 
KEPA, Chelsea, SPAIN 
CHRISTENSEN, Chelsea, DENMARK 
RÜDIGER, Chelsea, GERMANY 
PEDRO, Chelsea, SPAIN 
MOSES, Chelsea, NIGERIA 
DAVID LUIZ, Chelsea, BRAZIL 
BARKLEY, Chelsea, ENGLAND 
ZAPPACOSTA, Chelsea, ITALY 
CABALLERO, Chelsea, ARGENTINA 
DRINKWATER, Chelsea, ENGLAND 
LOFTUS-CHEEK, Chelsea, ENGLAND 
EMERSON, Chelsea, ITALY 
GREEN, Chelsea, ENGLAND 
BULKA, Chelsea, POLAND 
AMPADU, Chelsea, WALES 
HUDSON-ODOI, Chelsea, ENGLAND 
DE BRUYNE, Manchester City, BELGIUM 
AGÜERO, Manchester City, ARGENTINA 
DAVID SILVA, Manchester City, SPAIN 
EDERSON, Manchester City, BRAZIL 
OTAMENDI, Manchester City, ARGENTINA 
KOMPANY, Manchester City, BELGIUM 
FERNANDINHO, Manchester City, BRAZIL 
STERLING, Manchester City, ENGLAND 
SANÉ, Manchester City, GERMANY 
GABRIEL JESUS, Manchester City, BRAZIL 
WALKER, Manchester City, ENGLAND 
GÜNDOĞAN, Manchester City, GERMANY 
MAHREZ, Manchester City, ALGERIA 
BERNARDO SILVA, Manchester City, PORTUGAL 
LAPORTE, Manchester City, FRANCE 
STONES, Manchester City, ENGLAND 
MENDY, Manchester City, FRANCE 
BRAVO, Manchester City, CHILE 
DELPH, Manchester City, ENGLAND 
DANILO, Manchester City, BRAZIL 
MANGALA, Manchester City, FRANCE 
ZINCHENKO, Manchester City, UKRAINE 
SANDLER, Manchester City, NETHERLANDS 
FODEN, Manchester City, ENGLAND 
BRAHIM DIAZ, Manchester City, SPAIN 
MURIC, Manchester City, MONTENEGRO 
ADRIAN BERNABE, Manchester City, SPAIN 
GRIMSHAW, Manchester City, ENGLAND 
DAVID DE GEA, Manchester United, SPAIN 
SÁNCHEZ, Manchester United, CHILE 
LUKAKU, Manchester United, BELGIUM 
POGBA, Manchester United, FRANCE 
MATIĆ, Manchester United, SERBIA 
VALENCIA, Manchester United, ECUADOR 
FRED, Manchester United, BRAZIL 
BAILLY, Manchester United, CÔTE D'IVOIRE 
MARTIAL, Manchester United, FRANCE 
MATA, Manchester United, SPAIN 
SMALLING, Manchester United, ENGLAND 
ANDER HERRERA, Manchester United, SPAIN 
ROJO, Manchester United, ARGENTINA 
JONES, Manchester United, ENGLAND 
LINGARD, Manchester United, ENGLAND 
RASHFORD, Manchester United, ENGLAND 
YOUNG, Manchester United, ENGLAND 
ROMERO, Manchester United, ARGENTINA 
DARMIAN, Manchester United, ITALY 
FELLAINI, Manchester United, BELGIUM 
SHAW, Manchester United, ENGLAND 
LINDELÖF, Manchester United, SWEDEN 
GRANT, Manchester United, ENGLAND 
ANDREAS PEREIRA, Manchester United, BRAZIL 
MCTOMINAY, Manchester United, SCOTLAND 
DIOGO DALOT, Manchester United, PORTUGAL 
GOMES, Manchester United, ENGLAND 
CHONG, Manchester United, NETHERLANDS 
BOHUI, Manchester United, ENGLAND 
HAMILTON, Manchester United, SCOTLAND 
KROOS, Real Madrid, GERMANY 
SERGIO RAMOS, Real Madrid, SPAIN 
MODRIĆ, Real Madrid, CROATIA 
MARCELO, Real Madrid, BRAZIL 
BALE, Real Madrid, WALES 
BENZEMA, Real Madrid, FRANCE 
CASEMIRO, Real Madrid, BRAZIL 
COURTOIS, Real Madrid, BELGIUM 
NAVAS, Real Madrid, COSTA RICA 
ISCO, Real Madrid, SPAIN 
VARANE, Real Madrid, FRANCE 
DANIEL CARVAJAL, Real Madrid, SPAIN 
MARCO ASENSIO, Real Madrid, SPAIN 
LUCAS VÁZQUEZ, Real Madrid, SPAIN 
NACHO, Real Madrid, SPAIN 
DÍAZ, Real Madrid, DOMINICAN REPUBLIC 
ODRIOZOLA, Real Madrid, SPAIN 
KIKO CASILLA, Real Madrid, SPAIN 
MARCOS LLORENTE, Real Madrid, SPAIN 
JESÚS VALLEJO, Real Madrid, SPAIN 
DANI CEBALLOS, Real Madrid, SPAIN 
VINÍCIUS JÚNIOR, Real Madrid, BRAZIL 
VALVERDE, Real Madrid, URUGUAY 
REGUILÓN, Real Madrid, SPAIN 
PICKFORD, Everton, ENGLAND 
SIGURÐSSON, Everton, ICELAND 
BAINES, Everton, ENGLAND 
WALCOTT, Everton, ENGLAND 
COLEMAN, Everton, IRELAND 
TOSUN, Everton, TURKEY 
GUEYE, Everton, SENEGAL 
BERNARD, Everton, BRAZIL 
ANDRÉ GOMES, Everton, PORTUGAL 
MINA, Everton, COLOMBIA 
SCHNEIDERLIN, Everton, FRANCE 
ZOUMA, Everton, FRANCE 
DIGNE, Everton, FRANCE 
KEANE, Everton, ENGLAND 
JAGIELKA, Everton, ENGLAND 
MCCARTHY, Everton, IRELAND 
LOOKMAN, Everton, ENGLAND 
DAVIES, Everton, ENGLAND 
ALVERT-LEWIN, Everton, ENGLAND 
RICHARLISON, Everton, BRAZIL 
NIASSE, Everton, SENEGAL 
KENNY, Everton, ENGLAND 
HOLGATE, Everton, ENGLAND 
DOWELL, Everton, ENGLAND 
STEKELENBURG, Everton, NETHERLANDS 
BROWNING, Everton, ENGLAND 
BANINGIME, Everton, CONGO DR 
HEWELT, Everton, POLAND 
JOÃO VIRGINIA, Everton, PORTUGAL 
BONAVENTURA, MILAN, ITALY 
SUSO, MILAN, SPAIN 
DONNARUMMA, MILAN, ITALY 
PEPE REINA, MILAN, SPAIN 
ROMAGNOLI, MILAN, ITALY 
ÇALHANOĞLU, MILAN, TURKEY 
RODRÍGUEZ, MILAN, SWITZERLAND 
BAKAYOKO, MILAN, FRANCE 
SAMU CASTILLEJO, MILAN, SPAIN 
CALDARA, MILAN, ITALY 
MUSACCHIO, MILAN, ARGENTINA 
LAXALT, MILAN, URUGUAY 
KESSIÉ, MILAN, CÔTE D'IVOIRE 
ABATE, MILAN, ITALY 
MONTOLIVO, MILAN, ITALY 
ZAPATA, MILAN, COLOMBIA 
BORINI, MILAN, ITALY 
STRINIĆ, MILAN, CROATIA 
CONTI, MILAN, ITALY 
CUTRONE, MILAN, ITALY 
BERTOLACCI, MILAN, ITALY 
CALABRIA, MILAN, ITALY 
HALILOVIĆ, MILAN, CROATIA 
MAURI, MILAN, ITALY 
DONNARUMMA, MILAN, ITALY 
SIMIČ, MILAN, CZECH REPUBLIC 
PLIZZARI, MILAN, ITALY 
TSADJOUT, MILAN, ITALY 
FALCAO, MONACO, COLOMBIA 
SUBAŠIĆ, MONACO, CROATIA 
GLIK, MONACO, POLAND 
SIDIBÉ, MONACO, FRANCE 
RONY LOPES, MONACO, PORTUGAL 
GOLOVIN, MONACO, RUSSIA 
JEMERSON, MONACO, BRAZIL 
JOVETIĆ, MONACO, MONTENEGRO 
TIELEMANS, MONACO, BELGIUM 
IT BENNASSER, MONACO, MOROCCO 
CHADLI, MONACO, BELGIUM 
TOURÉ, MONACO, MALI 
GRANDSIR, MONACO, FRANCE 
HENRICHS, MONACO, GERMANY 
PIERRE-GABRIEL, MONACO, FRANCE 
RAGGI, MONACO, ITALY 
PELÉ, MONACO, GUINEA-BISSAU 
BARRECA, MONACO, ITALY 
SY, MONACO, SENEGAL 
TRAORÉ, MONACO, MALI 
BENAGLIO, MONACO, SWITZERLAND 
AHOLOU, MONACO, CÔTE D'IVOIRE 
N'DORAM, MONACO, FRANCE 
PELLEGRI, MONACO, ITALY 
JORDI MBOULA, MONACO, SPAIN 
DIOP, MONACO, FRANCE 
SYLLA, MONACO, FRANCE 
SERRANO, MONACO, FRANCE 
BADIASHILE, MONACO, FRANCE 
GEUBBELS, MONACO, FRANCE 
ISIDOR, MONACO, FRANCE 
HAMŠÍK, NAPOLI, SLOVAKIA 
MERTENS, NAPOLI, BELGIUM 
INSIGNE, NAPOLI, ITALY 
KOULIBALY, NAPOLI, SENEGAL 
JOSÉ CALLEJÓN, NAPOLI, SPAIN 
